expcode,impcode,common_lang,ln_distance,ln_trade
ALGERIA,BELGIUM-LUX.,1,3.129179,10.57801
ALGERIA,DENMARK (inc,0,3.362517,9.493337
ALGERIA,FRANCE,1,2.891912,14.76621
ALGERIA,GERMANY,0,3.192597,13.55481
ALGERIA,GREECE,1,3.088972,11.96951
ALGERIA,IRELAND,0,3.307363,NA
ALGERIA,ITALY,0,2.879012,14.73123
ALGERIA,NETHERLANDS,0,3.204933,13.7293
ALGERIA,PORTUGAL,0,2.767189,11.40278
ALGERIA,SPAIN,0,2.631345,13.41205
ALGERIA,UNITED KINGD,0,3.276254,12.51128
ALGERIA,AUSTRIA,0,3.087471,10.91006
ALGERIA,FINLAND,0,3.754668,7.512071
ALGERIA,ICELAND,0,3.750541,NA
ALGERIA,NORWAY,0,3.547117,8.632484
ALGERIA,SWEDEN,0,3.58506,9.868741
ALGERIA,SWITZERLAND,1,2.977919,10.80208
ALGERIA,MALTA,0,2.637869,NA
ALGERIA,ALBANIA,0,3.063435,5.83773
ALGERIA,BULGARIA,0,3.281928,12.18578
ALGERIA,CZECHOSLOVAK,0,3.222314,7.363914
ALGERIA,HUNGARY,0,3.238486,8.986197
ALGERIA,POLAND,0,3.381365,10.30474
ALGERIA,ROMANIA,0,3.347281,10.66786
ALGERIA,FM YUGOSLAVI,0,3.181514,12.82582
ALGERIA,FM USSR,0,4.626365,10.43111
ALGERIA,AUSTRALIA,0,4.949865,NA
ALGERIA,NEW ZEALAND,0,5.217087,NA
ALGERIA,SOLOMON ISLD,0,5.075799,NA
ALGERIA,FIJI,0,5.182036,NA
ALGERIA,KIRIBATI (in,0,5.147878,NA
ALGERIA,NEW CALEDONI,1,5.133575,4.060443
ALGERIA,PAPUA N.GUIN,0,4.996938,NA
LIBY ARAB JM,SOUTH AFRICA,1,3.997316,NA
LIBY ARAB JM,ALGERIA,1,2.661505,NA
LIBY ARAB JM,MOROCCO,1,3.139261,10.37387
LIBY ARAB JM,WESTERN SAHA,1,1.416607,NA
LIBY ARAB JM,SUDAN,1,2.797356,NA
LIBY ARAB JM,TUNISIA,1,2.488367,9.906334
LIBY ARAB JM,EGYPT,1,2.576646,7.706613
LIBY ARAB JM,CAMEROON,1,2.977919,NA
LIBY ARAB JM,CENTRAL AFR.,0,2.914473,NA
LIBY ARAB JM,CHAD,1,2.322196,NA
LIBY ARAB JM,CONGO,0,3.261046,4.844187
LIBY ARAB JM,GABON,0,3.278078,NA
LIBY ARAB JM,ANGOLA,0,3.62514,NA
